,participant_id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20
0,70z8Q2xdTXM3,35.75359654884873,0.09054495749339961,-20.350106165426286,-19.08828371235017,-30.80500193538911,2.306697273894735,0.012286283066010774,-16.080121978160605,-6.71378178851086,7.132377460030448,8.038692310950427,2.045740408719127,6.4721351387045,-6.66925236656239,6.926799786545614,4.778392334000532,8.858591059316332,-6.1786946337302915,1.8752917263155624,22.768199128553157
1,WHWymJu6zNZi,28.459454452845222,-18.88791551013876,10.232798671801918,-1.11517063881555,-7.235625936009111,-14.893769583302129,5.9916413961983155,-3.2745319687010674,-18.623486895901912,-12.154903543498586,3.6206232014494026,-6.693702844735319,5.737083095203158,-0.5114206663890393,-8.01092249045112,9.882576895920417,-15.352282690062758,-1.1242910131432344,0.5454864772951568,-4.888498158969303
2,4PAQp1M6EyAo,0.7986872038437869,4.718468449393879,10.98950487433017,17.68740490305955,10.643914661319855,31.79271372974035,-9.804107028462761,16.585555337765495,-15.010601543905757,-8.778162978736628,-11.210850887245918,6.9382290516945435,-7.350582559665244,-8.953907713219136,19.209185743992247,7.6092937502597096,-14.392010808467882,-8.077896418577485,-11.780055493173077,1.9565033709707733
3,obEacy4Of68I,-45.76717111358149,-11.453186163413326,4.095475051005575,-12.695670059802056,-20.976355237932438,22.331758296022883,4.630684631033557,-4.709805407648486,0.14491965615177738,10.252427335951005,-9.00237066020306,8.185177336802557,4.249570135875374,-9.44431728704255,-12.202471821876067,-2.4003462882059705,4.918175652700772,-3.6117854335035324,-14.7030723922003,-4.670703413867476
4,s7WzzDcmDOhF,3.7466456928905276,-8.847485994582524,10.05882806386133,2.3056276440433687,-3.341794349693097,14.48403713504066,28.106039656024205,5.519330791902275,-6.920243910921886,4.655579235971265,-27.494709510450097,-2.113631004751851,-1.3548193329029288,-4.315388016144993,19.406450872920264,-7.739855983571863,-18.50065609384895,-14.763663111418632,-2.9772889783727137,-11.915707413945636
5,s55ZRHrJtnlL,19.22102085834212,-3.3101646272961553,33.45860452179656,-19.259596560338736,27.03741368280832,-17.256076988647184,0.4990471188791169,0.8455182397729195,-29.27588812006787,0.5556453815069234,3.1981161328598513,-2.3932002883076646,2.449355120622753,-6.713756971967286,2.895751319623727,-2.1930486481063576,-5.31021868342757,-1.6508501939379914,-4.59373405327363,0.4285716215016878
6,sId1cQF5F22m,6.564933656925519,-27.583383633971962,-12.390027527891036,7.4653777417405776,-19.00899757579952,-2.2612543460751016,7.541364493261157,-26.481605056514752,-4.75790994021794,-7.101502081406614,-3.3002572122726854,15.682921021711962,5.353707718028496,7.325102262468649,-20.38983772615205,-19.518222582639574,6.392441073269463,4.6343427319800385,14.390658032097445,-18.759531060524772
7,T4CaImRntWnB,30.37059230328695,15.874692159235916,38.38105558206834,-13.458644002689027,-8.870356041999948,-7.052330141697558,4.898958947664534,-1.7394859380485719,-23.64280243834177,-12.626615967721193,-15.46938532927914,11.604681545680888,12.30295060399358,1.5844663623513,-11.114967045531712,4.777804356624627,-28.607215558557137,-9.840130153710685,-4.411415129469157,2.944774992160066
8,a5JFxSZjVg5i,-32.93828503437671,-11.588330564025092,-1.2131155632434072,-10.063338598341383,-8.595263457105414,13.344016226300482,-6.663483573811098,10.019334044370007,-26.242134485612805,-25.935567927145346,24.05086757511385,1.1687325309681327,15.046609357277191,-9.006729038467446,-13.836805647070067,28.996455275042702,-16.437920715713997,14.72168775695523,9.998683912194176,14.025655433060583
9,VZnIq2hRErI5,13.254327640691645,2.547959292232461,31.112628752150343,-16.118158485620317,52.9714946471125,16.03357199022738,0.9428943596542735,24.510440946258022,-3.7843611937761588,-19.68390262743266,-15.380552088635154,17.653926419735807,6.974369338668781,-22.92079787759337,-1.2189535488200487,-20.888135708888225,14.304002891435585,-21.330080901279338,-1.2120207910522294,18.248206993596103
